,distinctiveness,delay,Participant Private ID,hits
63,anticaricature,no delay,6679759,0.0
64,anticaricature,no delay,6679765,0.42857142857142855
65,anticaricature,no delay,6679775,0.42857142857142855
66,anticaricature,no delay,6679778,0.5714285714285714
67,anticaricature,no delay,6679780,0.5714285714285714
68,anticaricature,no delay,6679781,0.2857142857142857
69,anticaricature,no delay,6679792,0.5714285714285714
70,anticaricature,no delay,6679814,0.2857142857142857
71,anticaricature,no delay,6680247,0.42857142857142855
72,anticaricature,no delay,6680329,0.42857142857142855
73,anticaricature,no delay,6680332,0.2857142857142857
74,caricature,delay,6888697,0.14285714285714285
75,caricature,delay,6888707,0.42857142857142855
76,caricature,delay,6888713,0.14285714285714285
77,caricature,delay,6888718,0.14285714285714285
78,caricature,delay,6888719,0.14285714285714285
79,caricature,delay,6888720,0.2857142857142857
80,caricature,delay,6888725,0.2857142857142857
81,caricature,delay,6888727,0.14285714285714285
82,caricature,delay,6888730,0.0
83,caricature,delay,6888732,0.2857142857142857
84,caricature,delay,6888733,0.14285714285714285
85,caricature,delay,6888734,0.0
86,caricature,delay,6888737,0.2857142857142857
87,caricature,delay,6888738,0.42857142857142855
88,caricature,delay,6888741,0.2857142857142857
89,caricature,delay,6888742,0.14285714285714285
90,caricature,delay,6888745,0.14285714285714285
91,caricature,delay,6888747,0.42857142857142855
92,caricature,delay,6888748,0.2857142857142857
93,caricature,delay,6888749,0.14285714285714285
94,caricature,delay,6888752,0.2857142857142857
95,caricature,delay,6888754,0.2857142857142857
96,caricature,delay,6888759,0.5714285714285714
97,caricature,delay,6888761,0.42857142857142855
98,caricature,delay,6897764,0.42857142857142855
99,caricature,delay,6897766,0.14285714285714285
100,caricature,delay,6897767,0.2857142857142857
101,caricature,delay,6897769,0.14285714285714285
102,caricature,delay,6897770,0.0
103,caricature,delay,6897771,0.2857142857142857
104,caricature,delay,6897772,0.14285714285714285
105,caricature,delay,6897773,0.0
106,caricature,delay,6897774,0.14285714285714285
107,caricature,delay,6897775,0.42857142857142855
108,caricature,delay,6897776,0.0
109,caricature,delay,6932549,0.2857142857142857
110,caricature,delay,6996452,0.14285714285714285
111,caricature,no delay,6679648,0.2857142857142857
112,caricature,no delay,6679658,0.2857142857142857
113,caricature,no delay,6679659,0.42857142857142855
114,caricature,no delay,6679662,0.2857142857142857
115,caricature,no delay,6679664,0.42857142857142855
116,caricature,no delay,6679667,0.42857142857142855
117,caricature,no delay,6679672,0.42857142857142855
118,caricature,no delay,6679682,0.5714285714285714
119,caricature,no delay,6679690,0.5714285714285714
120,caricature,no delay,6679694,0.14285714285714285
121,caricature,no delay,6679699,0.2857142857142857
122,caricature,no delay,6679700,0.42857142857142855
123,caricature,no delay,6679702,0.7142857142857143
124,caricature,no delay,6679705,0.42857142857142855
125,caricature,no delay,6679707,0.7142857142857143
126,caricature,no delay,6679709,0.2857142857142857
127,caricature,no delay,6679714,0.42857142857142855
128,caricature,no delay,6679718,0.5714285714285714
129,caricature,no delay,6679721,0.7142857142857143
130,caricature,no delay,6679723,0.5714285714285714
131,caricature,no delay,6679728,0.42857142857142855
132,caricature,no delay,6679743,0.14285714285714285
133,caricature,no delay,6679747,0.5714285714285714
134,caricature,no delay,6679748,0.5714285714285714
135,caricature,no delay,6679754,0.42857142857142855
136,caricature,no delay,6679758,0.2857142857142857
137,caricature,no delay,6679759,0.2857142857142857
138,caricature,no delay,6679765,0.14285714285714285
139,caricature,no delay,6679775,0.2857142857142857
140,caricature,no delay,6679778,0.2857142857142857
141,caricature,no delay,6679780,0.42857142857142855
142,caricature,no delay,6679781,0.42857142857142855
143,caricature,no delay,6679792,0.2857142857142857
144,caricature,no delay,6679814,0.42857142857142855
145,caricature,no delay,6680247,0.0
146,caricature,no delay,6680329,0.2857142857142857
147,caricature,no delay,6680332,0.0
148,veridical,delay,6888697,0.7142857142857143
149,veridical,delay,6888707,0.5714285714285714
150,veridical,delay,6888713,0.0
151,veridical,delay,6888718,0.42857142857142855
152,veridical,delay,6888719,0.0
153,veridical,delay,6888720,0.2857142857142857
154,veridical,delay,6888725,0.42857142857142855
155,veridical,delay,6888727,0.14285714285714285
156,veridical,delay,6888730,0.14285714285714285
157,veridical,delay,6888732,0.0
158,veridical,delay,6888733,0.14285714285714285
159,veridical,delay,6888734,0.2857142857142857
160,veridical,delay,6888737,0.5714285714285714
161,veridical,delay,6888738,0.0
162,veridical,delay,6888741,0.2857142857142857
163,veridical,delay,6888742,0.14285714285714285
164,veridical,delay,6888745,0.2857142857142857
165,veridical,delay,6888747,0.42857142857142855
166,veridical,delay,6888748,0.42857142857142855
167,veridical,delay,6888749,0.14285714285714285
168,veridical,delay,6888752,0.8571428571428571
169,veridical,delay,6888754,0.14285714285714285
170,veridical,delay,6888759,0.5714285714285714
171,veridical,delay,6888761,0.2857142857142857
172,veridical,delay,6897764,0.14285714285714285
173,veridical,delay,6897766,0.0
174,veridical,delay,6897767,0.7142857142857143
175,veridical,delay,6897769,0.14285714285714285
176,veridical,delay,6897770,0.14285714285714285
177,veridical,delay,6897771,0.2857142857142857
178,veridical,delay,6897772,0.42857142857142855
179,veridical,delay,6897773,0.5714285714285714
180,veridical,delay,6897774,0.0
181,veridical,delay,6897775,0.2857142857142857
182,veridical,delay,6897776,0.2857142857142857
183,veridical,delay,6932549,0.42857142857142855
184,veridical,delay,6996452,0.2857142857142857
185,veridical,no delay,6679648,0.42857142857142855
186,veridical,no delay,6679658,0.42857142857142855
187,veridical,no delay,6679659,0.2857142857142857
188,veridical,no delay,6679662,0.2857142857142857
189,veridical,no delay,6679664,0.2857142857142857
190,veridical,no delay,6679667,0.14285714285714285
191,veridical,no delay,6679672,0.8571428571428571
192,veridical,no delay,6679682,0.7142857142857143
193,veridical,no delay,6679690,0.8571428571428571
194,veridical,no delay,6679694,0.7142857142857143
195,veridical,no delay,6679699,0.0
196,veridical,no delay,6679700,0.42857142857142855
197,veridical,no delay,6679702,0.8571428571428571
198,veridical,no delay,6679705,0.5714285714285714
199,veridical,no delay,6679707,0.5714285714285714
200,veridical,no delay,6679709,0.7142857142857143
201,veridical,no delay,6679714,0.5714285714285714
202,veridical,no delay,6679718,0.7142857142857143
203,veridical,no delay,6679721,0.5714285714285714
204,veridical,no delay,6679723,0.5714285714285714
205,veridical,no delay,6679728,1.0
206,veridical,no delay,6679743,0.5714285714285714
207,veridical,no delay,6679747,0.8571428571428571
208,veridical,no delay,6679748,0.2857142857142857
209,veridical,no delay,6679754,0.0
210,veridical,no delay,6679758,0.14285714285714285
211,veridical,no delay,6679759,0.42857142857142855
212,veridical,no delay,6679765,0.42857142857142855
213,veridical,no delay,6679775,0.42857142857142855
214,veridical,no delay,6679778,0.8571428571428571
215,veridical,no delay,6679780,0.42857142857142855
216,veridical,no delay,6679781,0.7142857142857143
217,veridical,no delay,6679792,0.14285714285714285
218,veridical,no delay,6679814,0.5714285714285714
219,veridical,no delay,6680247,0.2857142857142857
220,veridical,no delay,6680329,1.0
221,veridical,no delay,6680332,0.5714285714285714
